Essai;Temps_frame;Pixel_par_seconde
170;0.016950;3.373000;4531040616.660736
171;0.058312;11.604000;1317063081.696124
172;0.038588;7.679000;1990259148.325974
173;0.064673;12.870000;1187505827.505649
174;0.043286;8.614000;1774228000.929061
175;0.021774;4.333000;3527163627.970363
176;0.057447;11.432000;1336878936.319040
177;0.034920;6.949000;2199338034.249784
178;0.005538;1.102000;13868602540.835646
179;0.044588;8.873000;1722438859.461348
180;0.032528;6.473000;2361069056.079035
181;0.076754;15.274000;1000602330.758238
182;0.032166;6.401000;2387626933.291801
183;0.019854;3.951000;3868185269.551540
184;0.044166;8.789000;1738900898.850497
185;0.039940;7.948000;1922898842.476186
186;0.034884;6.942000;2201555747.623092
187;0.016342;3.252000;4699630996.309275
188;0.073492;14.625000;1045005128.205104
189;0.044452;8.846000;1727696133.845911
190;0.081658;16.250000;940504615.384545
191;0.075010;14.927000;1023862798.955011
192;0.054583;10.862000;1407033695.452130
193;0.027286;5.430000;2814585635.359323
194;0.066075;13.149000;1162308920.830435
195;0.058970;11.735000;1302360460.161977
196;0.092643;18.436000;828986765.025006
197;0.050296;10.009000;1526945748.826202
198;0.047970;9.546000;1601005656.819676
199;0.025683;5.111000;2990256309.919080
200;0.066296;13.193000;1158432502.084243
201;0.049452;9.841000;1553012905.192809
202;0.045975;9.149000;1670477647.830269
203;0.047040;9.361000;1632646084.820200
204;0.054915;10.928000;1398535871.155888
205;0.038709;7.703000;1984058159.159166
206;0.072070;14.342000;1065625435.783042
207;0.046286;9.211000;1659233525.133059
208;0.044960;8.947000;1708192690.287155
209;0.061040;12.147000;1258187206.717649
210;0.043337;8.624000;1772170686.456819
211;0.021739;4.326000;3532871012.482077
212;0.066487;13.231000;1155105434.207602
213;0.030171;6.004000;2545502998.000811
214;0.036477;7.259000;2105413968.866134
215;0.042472;8.452000;1808234737.340247
216;0.050050;9.960000;1534457831.325374
217;0.014402;2.866000;5332588974.179151
218;0.035447;7.054000;2166600510.349248
219;0.031704;6.309000;2422444127.436352
220;0.049834;9.917000;1541111223.152067
221;0.029477;5.866000;2605386975.793821
222;0.046653;9.284000;1646186988.367858
